Exp ID,Index,Original,Reference,LM Output
M-7,285,"When assessing representations on a planning application, we will give some weight to the outcomes from a meaningful and effective pre-application consultation exercise, if considered to be a valid consultation exercise, assessed against the criteria set out below.","When we look at planning application requests, we prefer to see the results of a good pre-application consultation exercise. To see if this consultation exercise is valid we will consider the below.","When assessing planning applications, we will consider the results of a valid pre-application consultation. This consultation must be meaningful and effective, judged against the criteria listed below."
M-7,286,"We have fiver weather stations across Sheffield that provides us with up-to-the-minute weather forecasts, helping us to decide when we need to grit the city ’ s roads.",There are five weather stations across Sheffield that provide us with up to date weather forecast. This helps us to decide when we need to grit the city's roads.,We have five weather stations in Sheffield that give us current weather forecasts. These forecasts help us decide when to grit the city's roads.
M-7,287,"The permit doesn't allow the holder to use other bus / tram gates in Hillsborough or elsewhere in Sheffield, this includes the ‘ inbound ’ bus or tram gates on Holme Lane or Middlewood Road.",You cannot use the permit on other bus/tram gates in Hillsborough or elsewhere in Sheffield. This includes the ‘incoming’ bus or tram gates on Holme Lane or Middlewood Road.,The permit does not allow using other bus or tram gates in Hillsborough or anywhere else in Sheffield. This includes the 'inbound' bus or tram gates on Holme Lane or Middlewood Road.
M-7,288,However the first 15 minutes of each meeting are available for members of the public to voice opinions or raise questions.,"In the first 15 minutes of each meeting, members of the public can express their opinions or ask questions.",The first 15 minutes of each meeting are open for members of the public to share opinions or ask questions.
M-7,289,The Fairbank Collection consists of the plans and business papers of the Fairbank family who practised as surveyors in Sheffield from about 1736 to 1848.,The Fairbank Collection contains the papers of the Fairbank family who worked as surveyors in Sheffield from the 1730s to the 1840s.,The Fairbank Collection includes the plans and business papers of the Fairbank family. They were surveyors in Sheffield from about 1736 to 1848.
M-7,290,"Organisations develop travel plans to manage employee travel, and any other travel to and from its sites, especially to reduce their carbon footprint and maximise access / travel options.",Companies develop plans to manage all travel to and from its sites. This is to reduce their carbon footprint and to improve access.,Organizations create travel plans to manage employee travel and other trips to and from their sites. This helps them reduce their carbon footprint and offer more travel options.
M-7,291,Where a young person is offered independent travel training the process will begin with an initial assessment of their skills and abilities.,The independent travel training process offered to a young person will start with a test of their skills and abilities.,"When a young person is offered independent travel training, the process starts with an assessment of their skills and abilities."
M-7,292,"The vision was to form a series of linked, quality, open spaces and pathways from Park Square roundabout through to Norfolk Park.","There was a vision of a chain of linked, high quality parks from Park Square roundabout through to Norfolk Park.","The goal was to create connected, high-quality open spaces and pathways from Park Square roundabout to Norfolk Park."
M-7,293,The site commands a high profile location on one of the busiest roads in Sheffield fronting the main A6102 Prince of Wales Road and comprises a former housing site which has been wholly demolished.,"The site is in a well-known location, on one of the busiest roads in Sheffield and in front of the main A6102 Prince of Wales Road. It contains a previous housing site that has been fully demolished.",The site is located on a busy road in Sheffield and has been developed from a former housing area that was completely demolished.
M-7,294,The registers are published in accordance with our statutory duty under Section 21 of the Flood and Water Management Act 2010 as Lead Local Flood Authority.,The registers are published under Section 21 of the Flood and Water Management Act 2010. The publications respect our statutory responsibility as Lead Local Flood Authority.,"The registers are published according to our legal duty under Section 21 of the Flood and Water Management Act 2010, as the Lead Local Flood Authority."
M-7,295,Consultation will also take place with local residents and / or businesses by placing public notices and issuing consultation forms at the site.,"Discussions will take place with local residents and businesses, and will be initiated by placing public notices and issuing consultation forms at the site.",We will also inform local residents and/or businesses by posting public notices and distributing consultation forms at the site.
M-7,296,We also ensure our other partners that we work with and their supply chain comply with the Equality Act 2010 via procurement procedures and contract monitoring.,We also ensure that our other partners and their supply chain comply with the Equality Act 2010 in their work.,We ensure that our partners and their supply chain follow the Equality Act 2010 through procurement procedures and contract monitoring.
M-7,297,It is not an alternative to the legal requirement of applying for building regulation approval before work is carried out.,"It cannot be done instead of applying for building regulation approval before work starts, which is a legal need.",It does not replace the need to apply for building regulation approval before starting any work.
M-7,298,"We are an Assessment Centre for organisations in the independent, private and voluntary sector (IPV), Health Authority and Children ’ s Trust working with organisations across Sheffield social care.","We  are an assessment centre for organisations that are; private, independent and voluntary. The Health Authority and Children's Trust work with Sheffield social care.","We are an Assessment Centre for organizations in the independent, private, and voluntary sectors, health authorities, and children's trusts. We work with social care organizations in Sheffield."
M-7,299,"However, there are a number of factors which present a poor image to visitors and passers by, including high volumes of HGV through-traffic, poor public space, untidy open spaces and run down vacant buildings and development plots.","However, there are a few factors which show a negative image to visitors and passers by, including high amounts of HTC through-traffic, bad public space, untidy open space and run down empty buildings and development plots.","There are several issues that give a bad impression to visitors and passers-by. These include a lot of heavy goods vehicles, poor public spaces, untidy areas, and rundown vacant buildings and development plots."
M-7,300,A very important factor to be considered before installing a solid fuel burner is that Sheffield is covered by the Clean Air Act.,A very important thing to think about before installing a solid fuel burner is that Sheffield is covered by the Clean Air Act,"Before installing a solid fuel burner, Sheffield must comply with the Clean Air Act. This act is very important to consider."
M-7,301,"On the night of 11 March 1864, the embankment of the Dale Dyke Dam collapsed and released 114 million cubic feet of water into the Loxley Valley.","On the night of 11 March 1864, the  Dale Dyke Dam failed and released 114 million cubic feet of water into the Loxley Valley.","On March 11, 1864, the embankment of the Dale Dyke Dam collapsed. This release of water flooded the Loxley Valley with 114 million cubic feet of water."
M-7,302,"If you want to carry out any kind of practical activity in the green spaces, then the 'Organising Practical Work Days Information Pack' will give you all the information you need to get started.",If you want to use the green spaces for activities our 'Organising Practical Work Days Information Pack' will help.,"If you want to do any practical activities in the green spaces, the 'Organising Practical Work Days Information Pack' contains all the necessary information to get started."
M-7,303,"Planning can assist in achieving this through supporting local centres, encouraging balanced communities through providing a good residential mix with appropriate infrastructure.",Planning can help to achieve this by supporting local centres.  Diverse communities can be encouraged to develop by providing a good residential mix with appropriate infrastructure.,Planning can help by supporting local centers. It can also encourage balanced communities by providing a good mix of residences and appropriate infrastructure.
M-7,304,"In advance of the demolition commencing, a programme of photographic recording work was carried out for us, to create a lasting visual record of the external and internal appearance of the buildings.","Before it was demolished, photos were taken to create a lasting record of the outside and inside look of the buildings","Before the demolition started, we had a programme of photographic recording to keep a lasting visual record of the buildings' external and internal appearance."
M-7,305,"In our duty to periodically review historic areas and to publish proposals for their future preservation and enhancement, we undertook a Conservation Area Appraisal in Broomhall.",It is our duty to check historic areas and publish plans to preserve and improve them. We therefore did a Conservation Area Appraisal in Broomhall.,We reviewed historic areas and published plans for preserving and enhancing them. We did this in Broomhall through a Conservation Area Appraisal.
M-7,306,"On the death of a secure tenant, who has not already had the tenancy passed to them by someone else, the tenancy is transferred to the person eligible to succeed.","On the death of a secure tenant, who has not already had the tenancy passed to them by someone else, the tenancy is given to the person eligible to succeed","When a secure tenant dies and has not passed the tenancy to someone else, it is transferred to the eligible successor."
M-7,307,Among other visitors were Charles Dickens and William Makepiece Thackeray who commissioned him to design the cover for the first edition of the Cornhill Magazine.,Among other visitors were Charles Dickens and William Makepiece Thackeray.  Thackeray instructed xxx to design the cover for the first edition of the Cornhill Magazine.,Charles Dickens and William Makepeace Thackeray were among the visitors. They both commissioned him to design the cover for the first edition of the Cornhill Magazine.
M-7,308,"Therefore, where a business wishes to put tables and chairs outside their premises for the purposes of providing an outside seating area for customers, the above consent is required and a licence must be applied for.",A licence and the above consent is needed for businesses wishing to provide an outdoor seating area by putting out tables and chairs.,"Therefore, businesses need consent and a license to place tables and chairs outside their premises for customer seating."
M-7,309,"Has an extensive range of topics and ideas related to starting up, running or supporting the development of small firms, including practical how-to guides.","Has a large range of topics and ideas related to starting up, running or supporting the development of small firms, including practical how-to guides","It covers a wide range of topics and ideas about starting, running, or supporting small businesses. This includes practical step-by-step guides."
M-7,310,The Munitions of War Act gave munitions factories and related industries priority over non-essential work and production lines were switched to munitions production.,The Munitions of War Act gave weapon factories and related industries priority over less important work. Production lines were moved over to munitions production.,The Munitions of War Act prioritized munitions factories and related industries over non-essential work. Production lines were then switched to making munitions.
M-7,311,"You will have a right to live in any property owned or rented in your name only or joint with your partner, regardless of whether you have lived there or ever intended to live there.","You will have a right to live in any property owned or rented in your name only or jointly with your partner, regardless of whether you have ever lived there or ever intended to live there.",You have the right to live in any property that is owned or rented in your name alone or jointly with your partner. This applies even if you have never lived there or intended to live there.
M-7,312,"A template for an Affordable Housing Statement is available as a download below, as well as a map showing the City's 12 Affordable Housing Market Areas.",A guide for an Affordable Housing Statement can be downloaded below. A map showing the City's 12 Affordable Housing Market Areas can also be downloaded.,A template for an Affordable Housing Statement is available for download. There is also a map showing the City's 12 Affordable Housing Market Areas.
M-7,313,"These tell you where technical documents will be required in support of your application, though you are advised to confirm the requirements with the case officer.","These tell you if you will need technical documents to support your application. However, it is best also to check with the case officer what documents are needed.","These documents tell you where technical materials are needed for your application. However, it is advised to confirm the specific requirements with the case officer."
M-7,314,"Where the law permits and where appropriate any personal information you disclosed to us may be shared with other organisations (such as the Health Service), in order to service to work together to ensure the safety of a child or vulnerable young person.",Personal information you disclosed to us may be shared with other organisations (such as the Health Service). This will only happen if law permits and it is appropriate to do so. This will hapen in order to service to work together to ensure the safety of a child or vulnerable young person,"If the law allows and it is appropriate, any personal information you share with us might be shared with other organizations, like the Health Service. This helps us work together to ensure the safety of children or vulnerable young people."
M-7,315,"You can still use your own library card to borrow books, cds and dvds, reserve books from any library for you to collect here, and use the People's Network computers for free.","You can still use your library card to borrow books, CDs and DVDs.  You can also reserve books from any library for collection here, and use the People's Network computers for free.","You can still use your own library card to borrow books, CDs, and DVDs. You can also reserve books from any library to collect here. Additionally, you can use the People's Network computers for free."
M-7,316,"Character Zones are a great way to discover the key historic developments that have left their mark on our surroundings; our place search and interactive map can tell you about the streets you live, work or go to school in.","Character Zones are a great way to discover historic developments that have marked our region; our place search and interactive map can tell you about the streets you live, work or go to school in","Character Zones are a great way to learn about the important historic developments in our area. Our place search and interactive map can provide information about the streets where you live, work, or go to school."
M-7,317,"If you are not a council tenant but live on the estate or in an ex council property covered by a TARA, you can join by paying £5 a year membership fee.","If you are not a council tenant but you live on the estate or in a former council property, you can still join, by paying a £5 a year membership fee.","If you live on the estate or in an ex-council property covered by TARA and are not a council tenant, you can join by paying a yearly membership fee of £5."
M-7,318,A postal vote enables you to receive and return your ballot paper via the post rather than going to the polling station.,"Rather than going to a voting station, another option is to vote by post as it allows you to get and return your voting slip.",A postal vote lets you receive and return your ballot paper by post instead of going to the polling station.
M-7,319,The final report (below) was endorsed by our Cabinet on 25 October 2006 as the basis for regeneration of the Upper Don Valley.,The final report (below) was approved by our Cabinet on 25 October 2006 as the basis for regeneration of the Upper Don Valley. *,"The final report was approved by our Cabinet on October 25, 2006, as the basis for regenerating the Upper Don Valley."
M-7,320,"We want to make it as easy as possible for businesses to offer work experience places or other types of support, especially for those who have never offered this before.","We want to make it as easy as possible for businesses to offer work experience and other types of support, especially for those who have never offered this before.","We want to make it easy for businesses to offer work experience or other support, especially for those who haven't done it before."
M-7,321,"During both World Wars, thousands of women were conscripted to work in the factories and steel mills to keep them running whilst the men were away fighting.","During both World Wars, thousands of women worked to keep the factories and steel mills running whilst the men were away fighting.","During both World Wars, many women were conscripted to work in factories and steel mills to keep them running while the men were away fighting."
M-7,322,"Part B requires 20% carbon reduction, but this is no longer required as the Building Regulations is at a higher standard than current planning policy and a further reduction would adversely affect viability.","The 20% carbon reduction figure in Part B is no longer a requirement, as the Building Regulations level is already higher than that required in current planning policy and a further reduction of that level would negatively affect viability.","Part B required a 20% carbon reduction, but this is no longer necessary because the Building Regulations are now stricter than the current planning policy. A further reduction would likely make the project less viable."
M-7,323,"The Social Care Institute for Excellence (SCIE) ’ s Dementia Gateway is designed to support people with dementia, their carers and staff working in dementia services.","The Social Care Institute for Excellence (SCIE)’s Dementia Gateway is designed to help people with dementia, their carers and staff working in dementia services.","The Social Care Institute for Excellence (SCIE) ’ s Dementia Gateway supports people with dementia, their carers, and staff working in dementia services."
M-7,324,The number of dogs and cats that may be accommodated will be specified on the licence along with other specific conditions.,"The licence will state how many dogs and cats can be housed, and also any other conditions.",The number of dogs and cats allowed will be stated on the licence. Other specific conditions will also be listed.
M-7,325,"We can also provide signposts to other organisations that could help such as housing, the health service or voluntary / charity organisations.",Some organisations can help you: the housing organisation; the health service; charity organisations; organisations where people can volunteer. We can give signposts to all these organisations.,"We can also direct you to other organizations that can offer help, such as housing services, health services, or charitable organizations."
M-7,326,Landowners can make a written declaration to us to state that they recognise all existing public paths on their land but do not want any new public paths to be created.,"Landowners can write to us to state that they recognise all existing public paths on their land, but do not want any new public paths to be built.",Landowners can tell us in writing that they acknowledge all current public paths on their land but do not want any new public paths created.
M-7,327,"The area is owned by several different parties, including ourselves, who work together to improve the landscape and ensure it is managed sustainably.","The area is owned by several different groups, including us, who work together to improve the area and make sure it is managed sustainably.","Several parties own the area, including us. We work together to improve the landscape and manage it sustainably."
M-7,328,See the Annual Equality Report or service reports such as translation and interpretation data for customer information.,"For customer information, check the Annual equality report or service reports. Two examples of these reports are translation and interpretation data.",You can see the Annual Equality Report or service reports like the translation and interpretation data for customer information.
M-7,329,"Several notable Sheffield men and women were deeply committed to temperance, for example William and Henry Ibbotson pioneered works temperance meetings, the Clegg family were influential in the British Temperance League and H. J. Wilson, a local politician spoke in favour of temperance.","Several famous Sheffielders were deeply committed to self control. There are many examples including Henry and William Ibbotson, the Clegg family and H J Wilson.","Several notable people from Sheffield supported temperance. William and Henry Ibbotson started temperance meetings. The Clegg family played a significant role in the British Temperance League. H. J. Wilson, a local politician, spoke in favor of temperance."
M-7,330,All new addresses created through the Street Naming and Numbering (SNN) process are included on our Local Land and Property Gazetteer.,A list of all the new addresses created through the Street Naming and Numbering (SNN) process can be found on our Local Land and Property Gazetteer.,All new addresses from the Street Naming and Numbering process are listed in our Local Land and Property Gazetteer.
M-7,331,With your green permit you can only stay for 2 hours in on-street pay and display bays in the city centre (with the exception of pay and displays in Central Zone 3 where there is no time limit).,You can only stay for 2 hours in on-street pay and display bays in the city centre with your green permit (with the exception of pay and displays in Central Zone 3 where there is no time limit),"With your green permit, you can stay for only 2 hours in on-street pay and display bays in the city centre. There is no time limit in Central Zone 3."
M-7,332,"When you are thinking of ending a tenancy, the most important point for a landlord to bear in mind is that, if you have a rent paying arrangement with someone, then, generally, you can ’ t evict them without a Possession Order from the Court, and then a bailiff ’ s warrant.","When ending a tenancy, the  landlord need remember  that if a rent paying arrangement is in place, you can’t evict them without a Possession Order from the Court, and a bailiff’s warrant","When you are thinking of ending a tenancy, a landlord must remember that, in general, they cannot evict someone without a Possession Order from the Court and a bailiff's warrant, unless you have a rent-paying arrangement with that person."
M-7,333,"Exception: residents of the Holme Lane, Loxley New Road and Vaughton zones do not need to provide proof of vehicle ownership.","Exception: residents of the Holme Lane, Loxley New Road and Vaughton areas do not need to provide proof of vehicle ownership.","Exceptions: Residents of the Holme Lane, Loxley New Road, and Vaughton zones do not need to provide proof of vehicle ownership."
M-7,334,Each month a Patent Attorney will give free advice during a 45 minute session to support you with developing and protecting your brand.,Each month a Patent Attorney will give free advice during a 45 minute session to help you with developing and protecting your brand.,"Each month, a Patent Attorney offers free advice for 45 minutes to help you develop and protect your brand."
M-7,335,Recording personal circumstances allows us to analyse how well we are meeting our commitments to different groups of customers.,Recording personal relations allows us to determine how well we are providing our service to different groups of customers,Recording personal circumstances helps us see if we are doing a good job meeting our promises to different customer groups.
M-7,336,We are proposing to move the bus stop on which is currently situated just below Richmond Park Road to a new lay-by which will be sited just below the Asda entrance on Handsworth Road.,We are suggesting to move the bus stop that is now positioned below Richmond Park Road to a new site. The new roadside stop will be just below the 'ASDA' supermarket entrance on Handsworth Road.,We propose moving the bus stop from just below Richmond Park Road to a new lay-by below the Asda entrance on Handsworth Road.
M-7,337,"It is about how everyone involved including elected members, officers, teachers and GPs recognise that they are corporate parents and understand what they can contribute for us to be the best corporate parents we can be to all children and young people in our care.","It is about how everyone involved recognise that they are corporate parents.  It is also about everyone involved contribute for us to be the best corporate parents we can be to all children and young people in our care. People involved include elected members, officers, teachers and GPs.","Everyone involved, including elected members, officers, teachers, and GPs, should recognize that they are corporate parents and understand how they can contribute to being the best corporate parents for all children and young people in our care."
M-7,338,We have chosen to allocate this local CIL to individual wards and to use our Local Area Partnerships as a mechanism for making decisions on how to spend the local CIL.,We have chosen to allocate this local CIL to individual districts and to use our Local Area Partnerships as a way of making decisions on how to spend the local CIL.,We have decided to distribute this local CIL to individual wards. We will use our Local Area Partnerships to make decisions about how to spend the CIL.
M-7,339,Better Bus Area funding from the Department for Transport can be used to improve bus journeys along this “Key Bus Route ” that is used by the 52.,Better Bus Route funding from the Department for Transport can be used to improve bus journeys along this “Key Bus Route” that is used by the 52.,"Better Bus Area funding from the Department for Transport can be used to improve bus journeys on this ""Key Bus Route."" The route is used by 52 people."
M-7,340,"Requests for information like this generally come from the Police, HM Revenue and Customs, UK Visas and Immigration and other organisations with the power to investigate crime and / or collect tax.","Requests for information like this generally come from the Police, HM Revenue and Customs, UK Visas and Immigration and other organisations who investigate crime and/or collect tax.","Requests for information usually come from the Police, HM Revenue and Customs, UK Visas and Immigration, and other organizations that can investigate crimes or collect taxes."
M-7,341,If the premises have not yet been constructed or are due to go under major refurbishment then an application for a provisional statement is required.,An application for a provisional statement is demanded if the premises have not been organized or are supposed to go under main refurbishment.,"If the premises are not yet built or are being extensively refurbished, an application for a provisional statement is needed."
M-7,342,"We provide a range of business databases, trade publications, business literature and guides to support your business information needs.","We provide various business databases, trade publications, business literature and guides to support your business information needs.","We offer various business databases, trade publications, literature, and guides to meet your business information needs."
M-7,343,"The threshold for buying goods still remains at £25,000 and any expenditure on goods over £25,000 is still subject to a full competitive tendering process led by a procurement professional.","The limit for buying goods still remains at £25,000. Any extra money on goods over £25,000 is still still subject to a full competitive tendering process led by a procurement professional.","The threshold for purchasing goods is still £25,000. Any spending over this amount must still go through a full competitive tendering process managed by a procurement professional."
M-7,344,"Selling the house does not in itself, help the landlord to get the house back, but the landlord is entitled to use the usual steps of proper Notice and applying to Court to get a tenant to leave.","If the landlord ants a tenant to leave the property, they cannot simply sell the house in order to get it back, but must use the normal steps of giving proper notice and writing to court.","Selling the house alone doesn't automatically help the landlord get it back. However, the landlord can use the usual legal steps, such as proper notice and applying to court, to ask a tenant to leave."
M-7,345,You need a Personal Identification Number (PIN) to request an item or view the ‘ My Account ’ section of our online library catalogue.,"To request an item or view the ‘My Account’ section of our online library catalogue, you must have a Personal Identification Number (PIN).",You need a PIN to request an item or view your 'My Account' section in our online library catalogue.
M-7,346,"If an application to vary, transfer or surrender an environmental permit has been refused or if the applicant objects to conditions imposed on the environmental permit they may appeal to the Secretary of State.","The applicant may appeal to the Secretary of State if they to change, transfer or surrender an environment permit has been refused or if they objects to conditions imposed on the environmental permit.","If an application to change, move, or give up an environmental permit is denied, or if the applicant disagrees with the conditions on the permit, they can appeal to the Secretary of State."
M-7,347,The Deregulation Act 2015 made important changes to the requirements for section 21 notices for tenancies beginning on or after 1 October 2015.,The Deregulation Act 2015 made important changes to what was needed for section 21 notices for tenancies beginning on or after 1 October 2015.,"The Deregulation Act 2015 changed the rules for section 21 notices starting from October 1, 2015."
M-7,348,Boer War battles such as that at Spionkop are remembered in football stadiums which took the names for parts of their stadium.,The Boer War Battles such as Spionkop or remembered in the football stadiums named after them.,Football stadiums that took names from parts of the Spionkop battlefield remember Boer War battles like the one at Spionkop.
M-7,349,"A Unilateral Obligation will need to be accompanied by a site plan, with the site clearly identified, and an office copy of the land registry ownership details to prove that the signatory of the obligation is entitled to enter into that obligation.","A Unilateral Obligation agreement requires from the signee: a site plan, with the site clearly identified, alongside an office copy of the land registry ownership details. These must be met to be entitled to enter the agreement.",A Unilateral Obligation needs a site plan to show the location clearly. It also needs an office copy of the land registry ownership details to prove that the person signing the obligation has the right to enter into it.
M-7,350,Don ’ t panic – you can buy one from Sheffield Libraries for just £3.50 each for Festival of Fun and then use it at Learning Destinations across the city when summer activities have ended!,"Don't panic - you can buy one from Sheffield Libraries for just £3.50.  This can be used for Festival of Fun, and then at Learning Destinations across the city when summer wactivities have ended.","Don't panic – you can buy a card for just £3.50 from Sheffield Libraries for the Festival of Fun. Then, you can use it at Learning Destinations across the city after summer activities end!"
M-7,351,If we haven ’ t received your payment within 28 days (or within 14 days of the reply of a formal challenge) we will send the registered keeper a Notice to Owner (NtO) letter.,If we haven't received your payment within 28 days (or within 14 days of the formal complaint) we will send a Notice to Owner (NtO) letter to the registered owner.,"If we haven't received your payment within 28 days (or 14 days after a formal challenge response), we will send a Notice to Owner (NtO) letter."
M-7,352,"We know that the majority of student landlords in the city are professional, responsible and work in full cooperation with us.",We work with the majority of student landlords in the city and know that they are professional and responsible.,"Most student landlords in the city are professional, responsible, and cooperate with us fully."
M-7,353,Membership does not necessarily guarantee standards but can indicate a degree of commitment and a desire to keep up to date with the latest techniques and information.,Membership may not guarantee standards but can show a degree of commitment and a desire to keep up to date with the latest techniques and information.,"Membership shows a degree of commitment and a desire to stay updated, but it does not ensure certain standards."
M-7,354,"However, we know a lot less about whether certain age groups, disabled people, or people from specific ethnicities or sexual orientations are accessing services that would help them.","However, we know a lot less than before about whether certain age groups, disabled people, or people from specific ethnic groups or sexual orientations are using services that would help them.","We know less about whether certain age groups, disabled people, or people from specific ethnicities or sexual orientations are using the services that could help them."
M-7,355,"We believe high quality Urban Design is of critical importance to the city, supporting Sheffield ’ s transformation, promoting sustainable development and delivering high quality places.","We believe high quality Urban Design is very important to the city. It supports Sheffield’s transformation, promots economic advances and delivers high quality places.","We believe high-quality urban design is very important for the city. It supports Sheffield's transformation, promotes sustainable development, and creates excellent places."
M-7,356,"As part of the national curriculum, children are entitled to high quality physical education that inspires all children to succeed and excel in competitive sport and other physically demanding activities.",Children are entitled to high quality physical education. This will push all children to succeed and do well in competitive sport and other physically demanding activities. Physical education is part of the national curriculum.,Children are entitled to high-quality physical education as part of the national curriculum. This education inspires all children to succeed and excel in competitive sports and other physically demanding activities.
M-7,357,"This includes an on-line sign up for subscription services, billing, establishing SLA ’ s and contracts with maintained schools and academies respectively, and assisting all schools to access the services that you need.","This comes with an online sign up. Use this for; subscription services, billing, creating SLA's with schools, creating contacts with academies and helping schools to use your services.","This includes signing up online for subscription services, setting up billing, creating SLAs and contracts with maintained schools and academies, and helping all schools access the services they need."
M-7,358,"The Register of Members' Interests is also open for inspection by the public during normal office hours at the Town Hall, Pinstone Street, Sheffield.","The Register of Members' Interests is also open for viewing by the public during normal office hours. It is held at the Town Hall, Pinstone Street, Sheffield.","The public can inspect the Register of Members' Interests during normal office hours at the Town Hall on Pinstone Street, Sheffield."
M-7,359,Improve awareness and understanding of child poverty in order to mobilise staff across our partnership to take action to tackle it.,Raise awareness and understanding of child poverty so we can mobilise staff across our partnership to tackle it.,Improve awareness and understanding of child poverty to encourage staff in our partnership to take action against it.
M-7,360,"In the 19th century many arrived in Britain as seamen and traders and they settled close to ports such as London, Cardiff and Bristol.","In the 1800's, many people arrived in Britain as sailors and traders. They started living near ports like London, Cardiff and Bristol.","In the 19th century, many people came to Britain as seamen and traders. They settled near ports like London, Cardiff, and Bristol."
M-7,361,Please note the Environment Agency map and associated information is intended for guidance and cannot provide details for individual properties.,Please note the Environment Agency map and the information with it is intended for guidance and cannot provide details for individual homes.,Please note that the Environment Agency map and associated information are provided for guidance only and do not include details of individual properties.
M-7,362,"The system continued until the Local Government Act of 1929 came into effect on 1 April 1930, putting the responsibility for care onto Public Assistance committees of local authorities.",The system continued until the Local Government Act of 1929 came into force on 1 April 1930.  This put the responsibility for care onto Public Assistance committees run by local authorities.,"The system continued until April 1, 1930, when the Local Government Act took effect. At that point, the responsibility for care was placed on the Public Assistance committees of local authorities."
M-7,363,It has 6 training rooms that have been designed to support delivery via presentations and Smart Board interactive learning.,It has 6 training rooms that have been designed to help people give presentations including the Smart Board for interactive learning.,It has 6 training rooms designed for presentations and interactive Smart Board learning.
M-7,364,"They are documents that are supported by all the different people and agencies that work, live, and provide services in the area.","Different people and agencies that work, live, and give services in the area support these documents.","These documents are supported by everyone who works, lives, and provides services in the area."
M-7,365,A number of local documents relating to the Civil War survive in Sheffield Archives and Local Studies Library collections.,There are a number of local documents about the Civil War in Sheffield Archives and Local Studies Library collections.,Several local documents from the Civil War are kept in the Sheffield Archives and Local Studies Library.
M-7,366,"The Coal Authority has identified and mapped higher risk areas, which they have designated as Development High Risk Areas (DHRAs).","The Coal Authority has found and marked higher risk areas, which they have named as Development High Risk Areas (DHRAs) *",The Coal Authority has identified and mapped areas with higher risks. They have designated these areas as Development High Risk Areas (DHRAs).
M-7,367,Licences issued by the Copyright Licensing Agency Limited (or any similar body or replacement or successor body) do not extend to the use of documents or web pages for commercial purposes.,Licences issued by the Copyright Licensing Agency Limited (or any similar body) do not include the use of documents or web pages for commercial purposes. *,"Licenses from the Copyright Licensing Agency Limited, or similar bodies, do not cover using documents or web pages for commercial purposes."
M-7,368,Women over 30 were granted the vote in 1918 and almost everyone over the age of 21 could take part in an election by 1928.,Women over 30 were able to vote in 1918. And almost everyone over the age of 21 could vote in an election by 1928.,"In 1918, women over 30 were allowed to vote. By 1928, almost everyone over 21 could participate in elections."
M-7,369,We will send a copy of your application to our Animal Control and Enforcement Section who will arrange to inspect your premises.,We will send a copy of your application to the Animal Control and Enforcement Section. They will arrange to inspect your shop.,We will send a copy of your application to our Animal Control and Enforcement Section. They will arrange to inspect your premises.
M-7,370,"When in the city centre you can find taxis at various locations, including the railway station and Barkers Pool (between the City Hall and Town Hall).","When in the city centre you can find taxis at many different places, maybe railway station and Barkers Pool (between the City Hall and Town Hall)","In the city centre, you can find taxis at various locations, such as the railway station and Barkers Pool (between the City Hall and Town Hall)."
M-7,371,In order to constitute a qualifying club you must also satisfy the various requirements set out in the Licensing Act 2003 – see eligibility criteria.,See eligibility criteria to check if you are a qualifying club. You must fulfil the different requirements stated in the Licensing Act 2003.,"To constitute a qualifying club, you must also meet the various requirements outlined in the Licensing Act 2003. For more details on the eligibility criteria, see the criteria listed in the Licensing Act 2003."
M-7,372,"If you make any changes to your cooling tower or evaporative condenser, you must also tell us about them in writing immediately.",you must also tell us if you make any changes to your cooling tower or evaporative condenser,"If you make any changes to your cooling tower or evaporative condenser, you must notify us in writing immediately."
M-7,373,"Where a child is on roll at a school, referrals must be made by schools and parent / carer permission for placement is always required.",A child can be registered at a school (or educational institution). The school can decide to refer the child for placement. The parent or carer of the child can choose to accept this placement or not.,"When a child is enrolled in a school, referrals must be made by the school. Parent or carer permission is always needed for the child's placement."
M-7,374,"And although it is not expected of you that you will have prepared in advance for the assessment, it would help you to think of all the extra things you do as a carer and in particular the amount of time you spend on each of them.","You are not expected to prepare in advance for the test. However, it will help you to think of all the extra things you do as a carer, and in particular how much time you spend on each of them.","While you don't need to prepare in advance for the assessment, it would be helpful to think about all the extra things you do as a carer. In particular, consider the amount of time you spend on each of them."
M-7,375,"This service is especially useful for anyone interested in locating potential suppliers, compiling a directory of useful addresses, researching the competition or conducting a business analysis by region or industry.","This service is especially useful for anyone interested in locating future suppliers, compiling a directory of useful addresses, researching the competition or conducting a business analysis by region or industry.","This service is particularly helpful for finding potential suppliers, creating a directory of useful addresses, researching competitors, or performing a business analysis by region or industry."
M-7,376,"If you do not tell your landlord in writing about the problems with the house, you will not have any protection against a section 21 notice in the time before we give the landlord a relevant Notice.","If you do not tell your landlord in writing about the problems with the house, you will not have any defence against a section 21 notice in the time before we give the landlord this  Notice.","If you do not inform your landlord in writing about house problems, you will have no protection against a section 21 notice until we give the landlord a relevant notice."
